,celltypes_fine,celltypes_coarse
137122-8,Classical_CEACAM,Classical PDAC
137146-8,Classical_CEACAM,Classical PDAC
137162-8,Classical_CEACAM,Classical PDAC
137180-8,Basal,Basal-like PDAC
137189-8,myCAF_POSTN,Fibroblasts
137196-8,B cells,Lymphocytes
137198-8,Classical_REG4,Classical PDAC
137205-8,Alpha cells,Endocrine cells
137207-8,Basal,Basal-like PDAC
137216-8,Classical_CEACAM,Classical PDAC
137236-8,B cells,Lymphocytes
137239-8,B cells,Lymphocytes
137248-8,Classical_CEACAM,Classical PDAC
137253-8,Classical_CEACAM,Classical PDAC
137255-8,Classical_CEACAM,Classical PDAC
137262-8,Classical_TFF1,Classical PDAC
137266-8,Acinar cells,Acinar cells
137267-8,Classical_KRT7,Classical PDAC
137278-8,Endothelial cells,Endothelial cells
137284-8,Classical_TFF1,Classical PDAC
137285-8,Classical_CEACAM,Classical PDAC
137286-8,Basal,Basal-like PDAC
137300-8,Classical_TFF1,Classical PDAC
137308-8,T cells,Lymphocytes
137329-8,Acinar cells,Acinar cells
137345-8,Ductal cells,Ductal cells
137360-8,Beta cells,Endocrine cells
137361-8,Classical_KRT7,Classical PDAC
137365-8,Classical_TFF1,Classical PDAC
137388-8,Basal,Basal-like PDAC
137398-8,Acinar cells,Acinar cells
137462-8,Beta cells,Endocrine cells
137463-8,Classical_KRT7,Classical PDAC
137466-8,Acinar cells,Acinar cells
137504-8,Classical_TFF1,Classical PDAC
137533-8,Ductal cells,Ductal cells
137599-8,T cells,Lymphocytes
137609-8,Ductal cells,Ductal cells
137655-8,Basal,Basal-like PDAC
137671-8,Endothelial cells,Endothelial cells
137706-8,Classical_TFF1,Classical PDAC
137731-8,Classical_CEACAM,Classical PDAC
137756-8,Basal,Basal-like PDAC
137771-8,Classical_KRT7,Classical PDAC
137801-8,Beta cells,Endocrine cells
137814-8,Schwann cells,Schwann cells
137816-8,myCAF_POSTN,Fibroblasts
137833-8,Classical_CEACAM,Classical PDAC
137858-8,Endothelial cells,Endothelial cells
137861-8,Alpha cells,Endocrine cells
137863-8,myCAF_ACTA2,Fibroblasts
137866-8,Acinar cells,Acinar cells
137877-8,Basal,Basal-like PDAC
137892-8,Beta cells,Endocrine cells
137896-8,Classical_CEACAM,Classical PDAC
137897-8,Classical_REG4,Classical PDAC
137914-8,Basal,Basal-like PDAC
137944-8,Alpha cells,Endocrine cells
137968-8,myCAF_ACTA2,Fibroblasts
137969-8,Classical_CEACAM,Classical PDAC
137986-8,Classical_CEACAM,Classical PDAC
137991-8,Classical_CEACAM,Classical PDAC
138001-8,Classical_CEACAM,Classical PDAC
138006-8,Basal,Basal-like PDAC
138024-8,Classical_TFF1,Classical PDAC
138026-8,Beta cells,Endocrine cells
138031-8,Classical_CEACAM,Classical PDAC
138048-8,Classical_TFF1,Classical PDAC
138062-8,Basal,Basal-like PDAC
138082-8,Classical_CEACAM,Classical PDAC
138088-8,Classical_CEACAM,Classical PDAC
138094-8,Classical_TFF1,Classical PDAC
138124-8,Classical_KRT7,Classical PDAC
138167-8,B cells,Lymphocytes
138184-8,NK cells,Lymphocytes
138199-8,myCAF_ACTA2,Fibroblasts
138205-8,Basal,Basal-like PDAC
138217-8,Classical_CEACAM,Classical PDAC
138221-8,Macrophages_M1,Macrophages
138228-8,Classical_TFF1,Classical PDAC
138243-8,Classical_CEACAM,Classical PDAC
138245-8,Classical_CEACAM,Classical PDAC
138264-8,Basal,Basal-like PDAC
138279-8,iCAF,Fibroblasts
138305-8,Endothelial cells,Endothelial cells
138319-8,Basal,Basal-like PDAC
138320-8,Classical_KRT7,Classical PDAC
138332-8,Classical_KRT7,Classical PDAC
138343-8,Classical_CEACAM,Classical PDAC
138355-8,Basal,Basal-like PDAC
138359-8,Classical_KRT7,Classical PDAC
138381-8,Classical_CEACAM,Classical PDAC
138392-8,Classical_TFF1,Classical PDAC
138395-8,Classical_CEACAM,Classical PDAC
138402-8,Delta cells,Endocrine cells
138407-8,Acinar cells,Acinar cells
138452-8,Alpha cells,Endocrine cells
138472-8,Basal,Basal-like PDAC
138477-8,Basal,Basal-like PDAC
138481-8,Classical_CEACAM,Classical PDAC
138494-8,B cells,Lymphocytes
138506-8,Classical_CEACAM,Classical PDAC
138513-8,Classical_TFF1,Classical PDAC
138525-8,Classical_TFF1,Classical PDAC
138526-8,B cells,Lymphocytes
138534-8,Classical_CEACAM,Classical PDAC
138581-8,Classical_KRT7,Classical PDAC
138591-8,NK cells,Lymphocytes
138623-8,Classical_TFF1,Classical PDAC
138653-8,Classical_TFF1,Classical PDAC
138664-8,NK cells,Lymphocytes
138666-8,iCAF,Fibroblasts
138672-8,myCAF_ACTA2,Fibroblasts
138678-8,Endothelial cells,Endothelial cells
138685-8,iCAF,Fibroblasts
138697-8,Classical_TFF1,Classical PDAC
138717-8,myCAF_POSTN,Fibroblasts
138719-8,B cells,Lymphocytes
138733-8,Acinar cells,Acinar cells
138736-8,Classical_REG4,Classical PDAC
138743-8,myCAF_ACTA2,Fibroblasts
138744-8,Classical_CEACAM,Classical PDAC
138781-8,myCAF_ACTA2,Fibroblasts
138790-8,Classical_TFF1,Classical PDAC
138794-8,Classical_REG4,Classical PDAC
138808-8,myCAF_POSTN,Fibroblasts
138833-8,Classical_TFF1,Classical PDAC
138840-8,Acinar cells,Acinar cells
138857-8,Acinar cells,Acinar cells
138883-8,Classical_CEACAM,Classical PDAC
138887-8,myCAF_ACTA2,Fibroblasts
138917-8,Alpha cells,Endocrine cells
138945-8,Classical_TFF1,Classical PDAC
138963-8,NK cells,Lymphocytes
138975-8,Basal,Basal-like PDAC
138980-8,Acinar cells,Acinar cells
138986-8,myCAF_ACTA2,Fibroblasts
138988-8,Ductal cells,Ductal cells
138992-8,Classical_TFF1,Classical PDAC
139011-8,Basal,Basal-like PDAC
139046-8,myCAF_ACTA2,Fibroblasts
139053-8,myCAF_POSTN,Fibroblasts
139069-8,Beta cells,Endocrine cells
139074-8,Macrophages_M1,Macrophages
139079-8,Classical_CEACAM,Classical PDAC
139083-8,Classical_CEACAM,Classical PDAC
139089-8,T cells,Lymphocytes
139097-8,myCAF_ACTA2,Fibroblasts
139107-8,Classical_CEACAM,Classical PDAC
139118-8,Endothelial cells,Endothelial cells
139130-8,Ductal cells,Ductal cells
139133-8,myCAF_POSTN,Fibroblasts
139140-8,Classical_TFF1,Classical PDAC
139150-8,iCAF,Fibroblasts
139163-8,B cells,Lymphocytes
139175-8,Classical_KRT7,Classical PDAC
139177-8,myCAF_ACTA2,Fibroblasts
139206-8,Ductal cells,Ductal cells
139222-8,Acinar cells,Acinar cells
139241-8,Classical_TFF1,Classical PDAC
139259-8,Classical_TFF1,Classical PDAC
139263-8,Classical_KRT7,Classical PDAC
139271-8,Basal,Basal-like PDAC
139279-8,B cells,Lymphocytes
139291-8,Classical_REG4,Classical PDAC
139327-8,B cells,Lymphocytes
139341-8,Classical_KRT7,Classical PDAC
139357-8,Classical_KRT7,Classical PDAC
139386-8,Beta cells,Endocrine cells
139422-8,Classical_CEACAM,Classical PDAC
139436-8,Classical_KRT7,Classical PDAC
139470-8,T cells,Lymphocytes
139475-8,myCAF_ACTA2,Fibroblasts
139479-8,Macrophages_M1,Macrophages
139485-8,NK cells,Lymphocytes
139488-8,Acinar cells,Acinar cells
139494-8,Acinar cells,Acinar cells
139495-8,Acinar cells,Acinar cells
139504-8,Classical_KRT7,Classical PDAC
139513-8,Classical_TFF1,Classical PDAC
139519-8,Classical_CEACAM,Classical PDAC
139543-8,Classical_CEACAM,Classical PDAC
139544-8,B cells,Lymphocytes
139545-8,Classical_CEACAM,Classical PDAC
139546-8,Basal,Basal-like PDAC
139553-8,iCAF,Fibroblasts
139578-8,Schwann cells,Schwann cells
139621-8,Classical_CEACAM,Classical PDAC
139625-8,myCAF_POSTN,Fibroblasts
139627-8,Basal,Basal-like PDAC
139637-8,Ductal cells,Ductal cells
139650-8,Classical_CEACAM,Classical PDAC
139655-8,Endothelial cells,Endothelial cells
139660-8,Classical_KRT7,Classical PDAC
139697-8,iCAF,Fibroblasts
139698-8,Endothelial cells,Endothelial cells
139710-8,Classical_CEACAM,Classical PDAC
139726-8,Acinar cells,Acinar cells
139738-8,T cells,Lymphocytes
139739-8,Classical_TFF1,Classical PDAC
139750-8,Basal,Basal-like PDAC
139766-8,iCAF,Fibroblasts
139771-8,Classical_TFF1,Classical PDAC
139788-8,Classical_TFF1,Classical PDAC
139810-8,Endothelial cells,Endothelial cells
139835-8,Ductal cells,Ductal cells
139859-8,Classical_CEACAM,Classical PDAC
139870-8,iCAF,Fibroblasts
139880-8,Classical_CEACAM,Classical PDAC
139886-8,Classical_TFF1,Classical PDAC
139898-8,Classical_CEACAM,Classical PDAC
139906-8,Classical_CEACAM,Classical PDAC
139915-8,Classical_KRT7,Classical PDAC
139917-8,Classical_CEACAM,Classical PDAC
139951-8,Basal,Basal-like PDAC
139989-8,Classical_TFF1,Classical PDAC
140014-8,Beta cells,Endocrine cells
140028-8,Classical_KRT7,Classical PDAC
140036-8,Classical_CEACAM,Classical PDAC
140041-8,Ductal cells,Ductal cells
140089-8,Classical_CEACAM,Classical PDAC
140102-8,Classical_TFF1,Classical PDAC
140139-8,Classical_REG4,Classical PDAC
140141-8,Classical_CEACAM,Classical PDAC
140150-8,Classical_REG4,Classical PDAC
140187-8,Classical_CEACAM,Classical PDAC
140191-8,Classical_KRT7,Classical PDAC
140212-8,Ductal cells,Ductal cells
140213-8,Acinar cells,Acinar cells
140219-8,Classical_TFF1,Classical PDAC
140223-8,Classical_TFF1,Classical PDAC
140227-8,iCAF,Fibroblasts
140229-8,Classical_KRT7,Classical PDAC
140232-8,myCAF_ACTA2,Fibroblasts
140233-8,Classical_CEACAM,Classical PDAC
140237-8,Alpha cells,Endocrine cells
140241-8,Classical_CEACAM,Classical PDAC
140247-8,Classical_CEACAM,Classical PDAC
140251-8,Basal,Basal-like PDAC
140281-8,Classical_CEACAM,Classical PDAC
140282-8,Classical_TFF1,Classical PDAC
140287-8,Schwann cells,Schwann cells
140288-8,Classical_CEACAM,Classical PDAC
140290-8,myCAF_ACTA2,Fibroblasts
140291-8,Beta cells,Endocrine cells
140302-8,Basal,Basal-like PDAC
140319-8,B cells,Lymphocytes
140327-8,Ductal cells,Ductal cells
140351-8,B cells,Lymphocytes
140380-8,Classical_CEACAM,Classical PDAC
140406-8,B cells,Lymphocytes
140407-8,iCAF,Fibroblasts
140410-8,Classical_CEACAM,Classical PDAC
140411-8,Classical_TFF1,Classical PDAC
140444-8,Classical_CEACAM,Classical PDAC
140453-8,Classical_CEACAM,Classical PDAC
140456-8,myCAF_ACTA2,Fibroblasts
140470-8,Classical_TFF1,Classical PDAC
140471-8,Classical_TFF1,Classical PDAC
140484-8,Basal,Basal-like PDAC
140496-8,myCAF_ACTA2,Fibroblasts
140516-8,Classical_CEACAM,Classical PDAC
140526-8,Classical_KRT7,Classical PDAC
140533-8,Classical_CEACAM,Classical PDAC
140570-8,B cells,Lymphocytes
140572-8,Acinar cells,Acinar cells
140576-8,Classical_TFF1,Classical PDAC
140599-8,Classical_CEACAM,Classical PDAC
140624-8,Ductal cells,Ductal cells
140655-8,Classical_TFF1,Classical PDAC
140662-8,Classical_TFF1,Classical PDAC
140681-8,T cells,Lymphocytes
140688-8,Beta cells,Endocrine cells
140692-8,Acinar cells,Acinar cells
140745-8,Classical_CEACAM,Classical PDAC
140752-8,B cells,Lymphocytes
140753-8,Classical_CEACAM,Classical PDAC
140775-8,B cells,Lymphocytes
140796-8,Basal,Basal-like PDAC
140843-8,Endothelial cells,Endothelial cells
140850-8,Classical_CEACAM,Classical PDAC
140855-8,Macrophages_M2,Macrophages
140870-8,myCAF_ACTA2,Fibroblasts
140899-8,Classical_REG4,Classical PDAC
140903-8,myCAF_POSTN,Fibroblasts
140904-8,Acinar cells,Acinar cells
140919-8,Alpha cells,Endocrine cells
140969-8,iCAF,Fibroblasts
140986-8,Endothelial cells,Endothelial cells
140995-8,Classical_TFF1,Classical PDAC
141028-8,Ductal cells,Ductal cells
141034-8,Acinar cells,Acinar cells
141046-8,Acinar cells,Acinar cells
141048-8,myCAF_POSTN,Fibroblasts
141097-8,Classical_TFF1,Classical PDAC
141098-8,Acinar cells,Acinar cells
141108-8,Classical_KRT7,Classical PDAC
141143-8,myCAF_ACTA2,Fibroblasts
141159-8,Classical_REG4,Classical PDAC
141165-8,Classical_CEACAM,Classical PDAC
141212-8,Classical_CEACAM,Classical PDAC
141236-8,T cells,Lymphocytes
141241-8,Classical_KRT7,Classical PDAC
141245-8,Classical_CEACAM,Classical PDAC
141249-8,Basal,Basal-like PDAC
141255-8,Endothelial cells,Endothelial cells
141264-8,Classical_REG4,Classical PDAC
141265-8,Classical_TFF1,Classical PDAC
141279-8,Acinar cells,Acinar cells
141283-8,Schwann cells,Schwann cells
141284-8,B cells,Lymphocytes
141288-8,iCAF,Fibroblasts
141291-8,Classical_REG4,Classical PDAC
141293-8,Ductal cells,Ductal cells
141315-8,Acinar cells,Acinar cells
141320-8,Basal,Basal-like PDAC
141321-8,Endothelial cells,Endothelial cells
141343-8,Basal,Basal-like PDAC
141369-8,Classical_KRT7,Classical PDAC
141399-8,Basal,Basal-like PDAC
141403-8,Classical_TFF1,Classical PDAC
141405-8,Classical_KRT7,Classical PDAC
141431-8,Classical_TFF1,Classical PDAC
141447-8,Classical_CEACAM,Classical PDAC
141460-8,Classical_TFF1,Classical PDAC
141472-8,Basal,Basal-like PDAC
141481-8,Beta cells,Endocrine cells
141506-8,Alpha cells,Endocrine cells
141512-8,Beta cells,Endocrine cells
141517-8,Basal,Basal-like PDAC
141535-8,Classical_CEACAM,Classical PDAC
141550-8,B cells,Lymphocytes
141563-8,Macrophages_M1,Macrophages
141567-8,Basal,Basal-like PDAC
141610-8,Classical_CEACAM,Classical PDAC
141613-8,Classical_CEACAM,Classical PDAC
141619-8,iCAF,Fibroblasts
141621-8,Acinar cells,Acinar cells
141623-8,Classical_KRT7,Classical PDAC
141640-8,myCAF_ACTA2,Fibroblasts
141658-8,Classical_REG4,Classical PDAC
141671-8,Acinar cells,Acinar cells
141678-8,myCAF_POSTN,Fibroblasts
141691-8,Classical_KRT7,Classical PDAC
141699-8,Basal,Basal-like PDAC
141705-8,Classical_KRT7,Classical PDAC
141715-8,myCAF_POSTN,Fibroblasts
141746-8,Basal,Basal-like PDAC
141748-8,Classical_CEACAM,Classical PDAC
141761-8,Classical_TFF1,Classical PDAC
141768-8,Classical_KRT7,Classical PDAC
141769-8,Classical_CEACAM,Classical PDAC
141774-8,Classical_TFF1,Classical PDAC
141780-8,Classical_CEACAM,Classical PDAC
141787-8,Classical_TFF1,Classical PDAC
141789-8,myCAF_POSTN,Fibroblasts
141795-8,Basal,Basal-like PDAC
141799-8,B cells,Lymphocytes
141814-8,T cells,Lymphocytes
141817-8,Acinar cells,Acinar cells
141830-8,Basal,Basal-like PDAC
141858-8,Schwann cells,Schwann cells
141861-8,myCAF_ACTA2,Fibroblasts
141862-8,Classical_CEACAM,Classical PDAC
141888-8,Classical_KRT7,Classical PDAC
141909-8,Basal,Basal-like PDAC
141910-8,Acinar cells,Acinar cells
141924-8,myCAF_ACTA2,Fibroblasts
141929-8,Macrophages_M1,Macrophages
141941-8,Basal,Basal-like PDAC
142005-8,Classical_KRT7,Classical PDAC
142021-8,Classical_REG4,Classical PDAC
142036-8,Classical_CEACAM,Classical PDAC
142053-8,Ductal cells,Ductal cells
142059-8,Classical_CEACAM,Classical PDAC
142080-8,Classical_CEACAM,Classical PDAC
142090-8,Basal,Basal-like PDAC
142091-8,Classical_KRT7,Classical PDAC
142102-8,myCAF_ACTA2,Fibroblasts
142106-8,Acinar cells,Acinar cells
142127-8,Endothelial cells,Endothelial cells
142128-8,Classical_TFF1,Classical PDAC
142130-8,myCAF_ACTA2,Fibroblasts
142134-8,Classical_CEACAM,Classical PDAC
142138-8,NK cells,Lymphocytes
142149-8,Basal,Basal-like PDAC
142160-8,Basal,Basal-like PDAC
142175-8,iCAF,Fibroblasts
142177-8,Acinar cells,Acinar cells
142197-8,Classical_TFF1,Classical PDAC
142210-8,Classical_TFF1,Classical PDAC
142217-8,Acinar cells,Acinar cells
142237-8,Ductal cells,Ductal cells
142243-8,Classical_CEACAM,Classical PDAC
142290-8,Basal,Basal-like PDAC
142318-8,Classical_CEACAM,Classical PDAC
142324-8,Classical_TFF1,Classical PDAC
142366-8,Basal,Basal-like PDAC
142372-8,myCAF_POSTN,Fibroblasts
142375-8,iCAF,Fibroblasts
142383-8,Classical_CEACAM,Classical PDAC
142384-8,myCAF_ACTA2,Fibroblasts
142393-8,Basal,Basal-like PDAC
142412-8,Classical_CEACAM,Classical PDAC
142428-8,Beta cells,Endocrine cells
142441-8,T cells,Lymphocytes
142445-8,Classical_KRT7,Classical PDAC
142457-8,iCAF,Fibroblasts
142474-8,Classical_TFF1,Classical PDAC
142481-8,Classical_CEACAM,Classical PDAC
142490-8,myCAF_ACTA2,Fibroblasts
142509-8,Classical_CEACAM,Classical PDAC
142518-8,Ductal cells,Ductal cells
142521-8,myCAF_ACTA2,Fibroblasts
142531-8,Alpha cells,Endocrine cells
142542-8,Basal,Basal-like PDAC
142549-8,Classical_REG4,Classical PDAC
142553-8,Classical_REG4,Classical PDAC
142555-8,Classical_KRT7,Classical PDAC
142558-8,Classical_TFF1,Classical PDAC
142574-8,Classical_CEACAM,Classical PDAC
142575-8,myCAF_ACTA2,Fibroblasts
142582-8,Classical_CEACAM,Classical PDAC
142591-8,Classical_REG4,Classical PDAC
142598-8,iCAF,Fibroblasts
142605-8,Macrophages_M1,Macrophages
142609-8,Classical_CEACAM,Classical PDAC
142616-8,iCAF,Fibroblasts
142622-8,Ductal cells,Ductal cells
142624-8,Acinar cells,Acinar cells
142636-8,Classical_CEACAM,Classical PDAC
142637-8,Endothelial cells,Endothelial cells
142646-8,Alpha cells,Endocrine cells
142654-8,myCAF_ACTA2,Fibroblasts
142667-8,Delta cells,Endocrine cells
142674-8,Classical_CEACAM,Classical PDAC
142713-8,Endothelial cells,Endothelial cells
142715-8,Beta cells,Endocrine cells
142717-8,Endothelial cells,Endothelial cells
142736-8,Classical_TFF1,Classical PDAC
142752-8,Classical_CEACAM,Classical PDAC
142756-8,Macrophages_M2,Macrophages
142760-8,Ductal cells,Ductal cells
142776-8,Classical_KRT7,Classical PDAC
142783-8,Endothelial cells,Endothelial cells
142785-8,Classical_CEACAM,Classical PDAC
142811-8,Alpha cells,Endocrine cells
142813-8,myCAF_ACTA2,Fibroblasts
142825-8,T cells,Lymphocytes
142836-8,Beta cells,Endocrine cells
142842-8,Acinar cells,Acinar cells
142861-8,Classical_CEACAM,Classical PDAC
142872-8,Classical_REG4,Classical PDAC
142900-8,Classical_TFF1,Classical PDAC
142901-8,myCAF_ACTA2,Fibroblasts
142904-8,Basal,Basal-like PDAC
142906-8,Schwann cells,Schwann cells
142916-8,Classical_CEACAM,Classical PDAC
142918-8,Endothelial cells,Endothelial cells
142936-8,Classical_CEACAM,Classical PDAC
142980-8,Classical_KRT7,Classical PDAC
142990-8,Classical_CEACAM,Classical PDAC
142999-8,Classical_TFF1,Classical PDAC
143006-8,Basal,Basal-like PDAC
143017-8,Classical_KRT7,Classical PDAC
143024-8,Classical_CEACAM,Classical PDAC
143027-8,myCAF_POSTN,Fibroblasts
143073-8,myCAF_ACTA2,Fibroblasts
143078-8,Alpha cells,Endocrine cells
143079-8,Classical_TFF1,Classical PDAC
143095-8,myCAF_ACTA2,Fibroblasts
143100-8,Beta cells,Endocrine cells
143122-8,Beta cells,Endocrine cells
143167-8,Schwann cells,Schwann cells
143168-8,Acinar cells,Acinar cells
143188-8,myCAF_POSTN,Fibroblasts
143217-8,iCAF,Fibroblasts
143226-8,Beta cells,Endocrine cells
143234-8,Acinar cells,Acinar cells
143246-8,Beta cells,Endocrine cells
143273-8,Acinar cells,Acinar cells
143295-8,Acinar cells,Acinar cells
143297-8,Classical_REG4,Classical PDAC
143308-8,Classical_KRT7,Classical PDAC
143309-8,Basal,Basal-like PDAC
143310-8,myCAF_ACTA2,Fibroblasts
143320-8,Basal,Basal-like PDAC
143324-8,Classical_KRT7,Classical PDAC
143325-8,Classical_KRT7,Classical PDAC
143326-8,Classical_CEACAM,Classical PDAC
143329-8,Classical_KRT7,Classical PDAC
143331-8,Beta cells,Endocrine cells
143388-8,Classical_CEACAM,Classical PDAC
143415-8,Basal,Basal-like PDAC
143419-8,Ductal cells,Ductal cells
143427-8,Classical_KRT7,Classical PDAC
143428-8,Classical_TFF1,Classical PDAC
143432-8,Classical_TFF1,Classical PDAC
143437-8,Classical_CEACAM,Classical PDAC
143449-8,Classical_TFF1,Classical PDAC
143462-8,Classical_CEACAM,Classical PDAC
143467-8,Ductal cells,Ductal cells
143470-8,Classical_CEACAM,Classical PDAC
143496-8,Basal,Basal-like PDAC
143503-8,B cells,Lymphocytes
143526-8,Classical_CEACAM,Classical PDAC
143536-8,myCAF_POSTN,Fibroblasts
143540-8,Basal,Basal-like PDAC
143549-8,NK cells,Lymphocytes
143551-8,Classical_REG4,Classical PDAC
143559-8,Basal,Basal-like PDAC
143575-8,Endothelial cells,Endothelial cells
143597-8,Classical_TFF1,Classical PDAC
143598-8,Beta cells,Endocrine cells
143601-8,Ductal cells,Ductal cells
143616-8,myCAF_ACTA2,Fibroblasts
143617-8,Beta cells,Endocrine cells
143629-8,Classical_CEACAM,Classical PDAC
143644-8,Basal,Basal-like PDAC
143648-8,Alpha cells,Endocrine cells
143666-8,Classical_CEACAM,Classical PDAC
143685-8,Acinar cells,Acinar cells
143710-8,Basal,Basal-like PDAC
143711-8,Endothelial cells,Endothelial cells
143724-8,Classical_CEACAM,Classical PDAC
143725-8,Ductal cells,Ductal cells
143728-8,Ductal cells,Ductal cells
143731-8,B cells,Lymphocytes
143737-8,Classical_CEACAM,Classical PDAC
143760-8,iCAF,Fibroblasts
143767-8,Delta cells,Endocrine cells
143769-8,B cells,Lymphocytes
143788-8,Classical_CEACAM,Classical PDAC
143796-8,Classical_TFF1,Classical PDAC
143817-8,Basal,Basal-like PDAC
143829-8,Classical_CEACAM,Classical PDAC
143837-8,Endothelial cells,Endothelial cells
143854-8,Classical_KRT7,Classical PDAC
143855-8,B cells,Lymphocytes
143856-8,Classical_REG4,Classical PDAC
143910-8,Classical_CEACAM,Classical PDAC
143914-8,Classical_CEACAM,Classical PDAC
143931-8,Acinar cells,Acinar cells
143934-8,Classical_CEACAM,Classical PDAC
143938-8,Acinar cells,Acinar cells
143944-8,Alpha cells,Endocrine cells
143968-8,Classical_KRT7,Classical PDAC
143972-8,Endothelial cells,Endothelial cells
143988-8,Classical_TFF1,Classical PDAC
144002-8,Beta cells,Endocrine cells
144016-8,Classical_KRT7,Classical PDAC
144075-8,B cells,Lymphocytes
144081-8,Classical_CEACAM,Classical PDAC
144092-8,Classical_TFF1,Classical PDAC
144096-8,Ductal cells,Ductal cells
144154-8,Classical_TFF1,Classical PDAC
144157-8,Beta cells,Endocrine cells
144158-8,B cells,Lymphocytes
144169-8,Classical_KRT7,Classical PDAC
144191-8,Classical_CEACAM,Classical PDAC
144238-8,iCAF,Fibroblasts
144256-8,B cells,Lymphocytes
144266-8,Classical_CEACAM,Classical PDAC
